timestamp,src_ip,dst_ip,dst_port,bytes,ssh_banner
2026-03-02T08:01:40,10.0.2.12,10.0.2.21,443,1607,
2026-03-02T08:01:53,10.0.2.11,10.0.2.21,445,3234,
2026-03-02T08:02:49,10.0.2.13,10.0.2.21,445,1675,
2026-03-02T08:04:40,10.0.2.12,10.0.2.20,443,1095,
2026-03-02T08:11:33,10.0.2.13,10.0.2.22,443,3975,
2026-03-02T08:13:48,10.0.2.10,10.0.2.21,445,1247,
2026-03-02T08:16:51,10.0.2.12,10.0.2.20,443,3043,
2026-03-02T08:18:12,10.0.2.13,10.0.2.20,445,3868,
2026-03-02T08:20:00,10.0.2.13,10.0.2.21,445,2570,
2026-03-02T08:29:15,10.0.2.11,10.0.2.22,443,2085,
2026-03-02T08:32:44,10.0.2.11,10.0.2.20,445,2453,
2026-03-02T08:36:50,10.0.2.13,10.0.2.21,443,3051,
2026-03-02T08:37:46,10.0.2.10,10.0.2.20,443,3975,
2026-03-02T08:41:57,10.0.2.12,10.0.2.21,443,3567,
2026-03-02T08:42:03,10.0.2.13,10.0.2.22,445,3682,
2026-03-02T08:44:58,10.0.2.12,10.0.2.20,445,3271,
2026-03-02T08:47:37,10.0.2.13,10.0.2.22,445,900,
2026-03-02T08:51:47,10.0.2.11,10.0.2.21,445,3518,
2026-03-02T08:52:21,10.0.2.10,10.0.2.20,445,3400,
2026-03-02T08:52:40,10.0.2.11,10.0.2.20,445,1067,
2026-03-02T08:58:19,10.0.2.10,10.0.2.21,445,3655,
2026-03-02T08:59:34,10.0.2.10,10.0.2.20,445,3138,
2026-03-02T09:01:34,10.0.2.13,10.0.2.20,443,3426,
2026-03-02T09:04:45,10.0.2.10,10.0.2.20,443,1041,
2026-03-02T09:09:39,10.0.2.13,10.0.2.22,445,3923,
2026-03-02T09:12:08,10.0.2.12,10.0.2.20,445,2405,
2026-03-02T09:13:22,10.0.2.11,10.0.2.22,445,3738,
2026-03-02T09:14:45,10.0.2.12,10.0.2.21,445,2409,
2026-03-02T09:18:47,10.0.2.11,10.0.2.21,443,1029,
2026-03-02T09:20:52,10.0.2.10,10.0.2.21,443,1585,
2026-03-02T09:27:19,10.0.2.13,10.0.2.20,445,3998,
2026-03-02T09:27:35,10.0.2.12,10.0.2.21,445,1454,
2026-03-02T09:30:39,10.0.2.13,10.0.2.20,445,961,
2026-03-02T09:31:34,10.0.2.10,10.0.2.20,445,3809,
2026-03-02T09:34:53,10.0.2.11,10.0.2.20,445,1019,
2026-03-02T09:35:09,10.0.2.11,10.0.2.20,445,2230,
2026-03-02T09:35:51,10.0.2.10,10.0.2.20,445,1872,
2026-03-02T09:39:12,10.0.2.12,10.0.2.21,445,1451,
2026-03-02T09:40:29,10.0.2.11,10.0.2.21,445,2358,
2026-03-02T09:45:56,10.0.2.11,10.0.2.21,443,2561,
2026-03-02T09:47:15,10.0.2.13,10.0.2.22,445,3701,
2026-03-02T09:55:22,10.0.2.13,10.0.2.21,443,2050,
2026-03-02T09:57:28,10.0.2.13,10.0.2.21,445,3407,
2026-03-02T10:02:54,10.0.2.11,10.0.2.20,445,1600,
2026-03-02T10:06:43,10.0.2.12,10.0.2.20,443,2871,
2026-03-02T10:09:29,10.0.2.12,10.0.2.21,443,3459,
2026-03-02T10:10:15,10.0.2.13,10.0.2.20,443,3453,
2026-03-02T10:19:03,10.0.2.11,10.0.2.21,445,3736,
2026-03-02T10:20:01,10.0.2.13,10.0.2.22,445,2246,
2026-03-02T10:22:34,10.0.2.11,10.0.2.22,445,1933,
2026-03-02T10:29:44,10.0.2.10,10.0.2.20,443,2202,
2026-03-02T10:35:31,10.0.2.12,10.0.2.20,445,864,
2026-03-02T10:39:31,10.0.2.13,10.0.2.20,445,3811,
2026-03-02T10:40:28,10.0.2.11,10.0.2.20,443,3532,
2026-03-02T10:45:40,10.0.2.13,10.0.2.21,445,2688,
2026-03-02T10:46:01,10.0.2.13,10.0.2.20,443,1589,
2026-03-02T10:49:37,10.0.2.12,10.0.2.20,443,3425,
2026-03-02T10:50:40,10.0.2.13,10.0.2.22,443,1495,
2026-03-02T10:51:25,10.0.2.13,10.0.2.22,445,3881,
2026-03-02T10:52:38,10.0.2.11,10.0.2.20,445,1371,
2026-03-02T10:53:59,10.0.2.10,10.0.2.21,445,2814,
2026-03-02T11:03:05,10.0.2.13,10.0.2.20,443,3920,
2026-03-02T11:12:04,10.0.2.11,10.0.2.21,443,1077,
2026-03-02T11:12:06,10.0.2.10,10.0.2.21,443,1453,
2026-03-02T11:14:43,10.0.2.11,10.0.2.20,445,2144,
2026-03-02T11:15:59,10.0.2.11,10.0.2.20,443,2563,
2026-03-02T11:17:37,10.0.2.11,10.0.2.21,445,913,
2026-03-02T11:23:51,10.0.2.13,10.0.2.20,445,3352,
2026-03-02T11:25:17,10.0.2.12,10.0.2.20,445,1438,
2026-03-02T11:26:25,10.0.2.13,10.0.2.20,445,1511,
2026-03-02T11:27:12,10.0.2.13,10.0.2.22,443,3055,
2026-03-02T11:31:23,10.0.2.12,10.0.2.21,443,3943,
2026-03-02T11:31:43,10.0.2.13,10.0.2.21,443,1576,
2026-03-02T11:35:41,10.0.2.10,10.0.2.21,445,3165,
2026-03-02T11:35:59,10.0.2.12,10.0.2.20,443,3470,
2026-03-02T11:42:20,10.0.2.12,10.0.2.21,443,3896,
2026-03-02T11:44:58,10.0.2.12,10.0.2.20,443,2497,
2026-03-02T11:45:00,10.0.2.10,10.0.2.20,445,3381,
2026-03-02T11:54:12,10.0.2.10,10.0.2.21,443,3602,
2026-03-02T11:54:35,10.0.2.11,10.0.2.20,445,2737,
2026-03-02T11:54:41,10.0.2.11,10.0.2.21,443,2278,
2026-03-02T11:59:51,10.0.2.11,10.0.2.22,443,1042,
2026-03-02T12:01:44,10.0.2.11,10.0.2.22,443,2447,
2026-03-02T12:01:49,10.0.2.11,10.0.2.21,445,3194,
2026-03-02T12:05:20,10.0.2.12,10.0.2.21,445,3099,
2026-03-02T12:06:14,10.0.2.13,10.0.2.20,445,1470,
2026-03-02T12:12:42,10.0.2.13,10.0.2.21,445,2382,
2026-03-02T12:13:10,10.0.2.13,10.0.2.22,445,1900,
